study_id,genus,relative_abundance
MGYS00001248,,0.36175406871609406
MGYS00001248,Blautia,0.16066907775768535
MGYS00001248,Bacteroides,0.1337251356238698
MGYS00001248,Fusobacterium,0.08661844484629294
MGYS00001248,Faecalibacterium,0.06247739602169982
MGYS00001248,Prevotella,0.03264014466546112
MGYS00001248,[Ruminococcus],0.025768535262206148
MGYS00001248,Dorea,0.02531645569620253
MGYS00001248,Sutterella,0.015822784810126583
MGYS00001248,Streptococcus,0.011301989150090416
MGYS00002673,Lachnospiraceae,0.3298808907301916
MGYS00002673,Unknown,0.16813395477300191
MGYS00002673,Ruminococcaceae,0.11242016226480234
MGYS00002673,Erysipelotrichaceae,0.09291386155705161
MGYS00002673,Akkermansiaceae,0.0744432936302434
MGYS00002673,Lactobacillaceae,0.06559640945969274
MGYS00002673,Leuconostocaceae,0.062014500258933195
MGYS00002673,Streptococcaceae,0.04203348869325047
MGYS00002673,Prevotellaceae,0.0118246159157604
MGYS00002673,Muribaculaceae,0.007379596064215432
MGYS00004773,Unknown,0.7786885245901639
MGYS00004773,Flavobacteriaceae,0.02459016393442623
MGYS00004773,Desulfobacteraceae,0.020491803278688527
MGYS00004773,Rhodobacteraceae,0.020491803278688523
MGYS00004773,Anaerolineaceae,0.01639344262295082
MGYS00004773,Syntrophaceae,0.01639344262295082
MGYS00004773,Methanosaetaceae,0.012295081967213115
MGYS00004773,,0.00819672131147541
MGYS00004773,Caldisericaceae,0.00819672131147541
MGYS00004773,Campylobacteraceae,0.00819672131147541
MGYS00005745,Lachnospiraceae,0.15072820707145357
MGYS00005745,Ruminococcaceae,0.10144527100852044
MGYS00005745,,0.08834866073349097
MGYS00005745,Unknown,0.07737704117033924
MGYS00005745,Erysipelotrichaceae,0.05503374011311974
MGYS00005745,Clostridiaceae,0.048095216286054544
MGYS00005745,Barnesiellaceae,0.044309403253701196
MGYS00005745,Clostridiales_Family_XIII._Incertae_Sedis,0.04296234208872934
MGYS00005745,Peptoniphilaceae,0.039922191162372174
MGYS00005745,Eggerthellaceae,0.0387483585062737
