supplementary_data_6._human_stool_metagenome_datasets_used_as_the_external_validation_cohort.,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11
StudyID,Author (Last name),Year,Publication title,Journal,Total number of samples (n),Total number of samples from healthy individuals (n),Total number of samples from non-healthy individuals (n),Sequencing platform,Library layout,Geography (Country),Disease type
,,,,,,,,,,,
1,Carter,2023,Ultra-deep sequencing of Hadza hunter-gatherers recovers vanishing gut microbes,Cell,135,135,0,Illumina NovaSeq 6000,Paired,Tanzania,–
2,de Nies,2023,Altered infective competence of the human gut microbiome in COVID-19,Microbiome,57,57,0,Illumina NextSeq 500,Paired,Luxembourg,–
3,Zysset-Burri,2019,Retinal artery occlusion is associated with compositional and functional shifts in the gut microbiome and altered trimethylamine-N-oxide levels,Scientific Reports,30,30,0,Illumina HiSeq 3000,Paired,Switzerland,–
4,Huang,2019,Metagenome-wide association study of the alterations in the intestinal microbiome composition of ankylosing spondylitis patients and the effect of traditional and herbal treatment,Journal of Medical Microbiology,150,37,113,Illumina HiSeq 4000,Paired,China,Ankylosing spondylitis (AS)
5,Nagata,2022,Metagenomic Identification of Microbial Signatures Predicting Pancreatic Cancer From a Multinational Study,Gastroenterology,278,235,43,Illumina HiSeq 4000,Paired,Japan,Pancreatic cancer (PC)
6,Wallen,2022,Metagenomics of Parkinson’s disease implicates the gut microbiome in multiple disease mechanism,Nature Communications,490,0,490,Illumina NovaSeq 6000,Paired,USA,Parkinson's disease (PD)
,,,,,,,,,,,
,,,,,,,,,,,
P-values from the two-sided Mann–Whitney U test used to compare healthy vs. non-healthy cohorts.,,,,,,,,,,,
,AS4,PD6,PC5,,,,,,,,
H1,1.02 × 10-38,1.43 × 10-65,1.91 × 10-22,,,,,,,,
H2,1.47 × 10-20,4.85 × 10-27,2.24 × 10-16,,,,,,,,
H3,7.40 × 10-5,5.84 × 10-7,1.01 × 10-10,,,,,,,,
H4,6.07 × 10-11,5.99 × 10-13,5.50 × 10-15,,,,,,,,
H5,5.48 × 10-1,3.20 × 10-1,1.43 × 10-6,,,,,,,,
